gene	p	fdr
FMR1	1	1
LRRC41	1	1
EVI5	1	1
TTLL6	1	1
ORC1	1	1
FEZ1	1	1
UBP1	1	1
ILDR1	1	1
SPECC1	1	1
FAH	1	1
RCVRN	1	1
FAM46C	1	1
SLC25A46	1	1
SAMD9L	1	1
SDK2	1	1
DOCK10	6.57759157315911e-05	0.00149471162174919
DDX50	0.0315913220240318	0.121569418386778
TNIK	0.00645881540410233	0.0460064385188832
SEMA6A	2.78145698615859e-06	0.00013359911017525
MYL12A	0.0336370935713889	0.125679221942193
EIF6	1	1
CD74	0.00168518067303641	0.0159860154510673
LIPC	1	1
TESK1	1	1
TOX2	1	1
SSH1	4.33234506477912e-05	0.0010908088064172
SLC12A7	1	1
KIF4A	1	1
RFTN2	1	1
ZNF304	1	1
UBA2	1	1
NUP133	2.25723423836545e-05	0.0006541035563658
KAT2B	1	1
ZNF492	1.10699414053405e-08	1.5180866247615e-06
PPP1R3D	1	1
XDH	1	1
POTEG	2.64215169127527e-08	3.1100327199386e-06
FUT10	1	1
SNAI1	1	1
PCDHB13	1	1
HLA-E	0.0286645635341888	0.116380270169709
SIPA1	0.00020767126370495	0.00352227152445486
SGSM2	1	1
CPOX	1	1
HTR3A	1	1
PPP1R3A	0.000361079009363724	0.00520964352120797
DMTF1	1	1
BAHD1	0.0160727456068268	0.085732412311173
STAU2	2.5363408884881e-06	0.000125265087587043
SH3TC2	1	1
HCCS	1	1
MLX	0.000154704478656733	0.00288665886529242
ERBB3	1	1
EPB41L4A	1	1
ADCY7	1	1
DNAH6	0.000104646959915936	0.00212376193794914
ELFN1	1	1
IQGAP1	0.00085519806739556	0.00984464634744669
CSN2	1	1
ZNF490	1	1
CCR10	1	1
ADGRG6	1	1
ERCC6L	1	1
PRDM16	1	1
ADGRG2	1	1
YME1L1	1	1
ABCC3	1	1
CNOT1	1	1
NOMO3	1	1
TMC7	1	1
RSBN1	0.00116775641464176	0.0123629811300169
CCDC73	1	1
RGS13	1	1
ADGRL3	1.15599000173118e-07	1.04002285187598e-05
DCAF5	1	1
SIRT2	0.000947857929159134	0.0106426814382931
HUWE1	4.70453682898022e-09	7.38350918992728e-07
BTBD7	1	1
GRIK1	0.0386092090789243	0.13404898356852
CEP135	0.000592673089805068	0.00751481812701668
HTN1	0.0149003116400682	0.0820213959142493
ARMC5	0.0167659660397106	0.0873871846165729
STXBP5	0.0478808930704733	0.147543385488001
MAGEC1	2.77150820295905e-10	6.21389735980899e-08
HIST1H4C	1	1
GIMAP5	1	1
JUNB	1	1
MCF2L	0.00390937526579408	0.0312683610585172
PFKFB1	1	1
EPHA8	0.0428116990627116	0.140846667057777
MRPL49	1	1
WDR44	1	1
NKTR	0.0158154373857895	0.0850697079490772
FAM174A	1	1
FKBP5	1	1
ORC5	1	1
ELMSAN1	4.68309152495372e-05	0.00115644524108341
YWHAH	1	1
AIM1	1	1
ZFAT	1	1
ARHGEF15	0.00431040119878857	0.0337683954148023
ZNF485	1	1
LPA	0.0168166826273573	0.087510380195947
GABRG3	0.0342619152202256	0.12659985459147
LSP1	1	1
CLIC3	1	1
SEPT9	1	1
SHROOM2	0.00112716031419688	0.0120706136755352
ADAMTS14	1	1
KIRREL	0.0173279484373608	0.0889076709933935
SHROOM1	0.00586436795924421	0.0428083707619248
KIF20A	0.0342669462715058	0.12659985459147
CNGA1	1	1
NUDT9	1	1
PKHD1L1	1.19042538654764e-06	6.84205950839453e-05
MOK	1	1
RLTPR	1	1
CETN2	1	1
KCNA4	1	1
MYC	4.22104678297371e-07	3.12158564447663e-05
KRT10	0.0156300363184691	0.0845274998456245
CSGALNACT2	1	1
KDELC1	1	1
TMEM183A	1	1
EFCAB5	1	1
MID2	1	1
ASPDH	0.0211574279656359	0.0997817629718454
PPCS	1	1
RPGR	0.015547778296909	0.0843011492437385
AUH	1	1
SH3BGRL2	1	1
SLC12A5	1	1
ZNF479	0.0309346746107464	0.120571820882117
TAB2	0.0475975288054685	0.147043554096883
HIST1H1C	0.0282782795684069	0.115945050480043
CALD1	0.0396320247577426	0.135940347183855
YLPM1	1.45636192819691e-05	0.000470911747042096
POLD2	1	1
FSIP2	0.00130189168173429	0.0132770302249567
NIPBL	0.0337887150315876	0.125814940930885
ATF4	0.0046195667103731	0.0356564916852569
RNF219	0.0235755380995969	0.105425907804208
GRIN1	1	1
RRM2	0.0208511641842607	0.0990325131481783
CDC42BPB	0.00134601916222651	0.0135609990488227
MTUS1	1.94625612086991e-05	0.000592475597139815
RALGPS2	1	1
PLA2G6	1	1
FAM72C	1	1
LRIG2	0.00454270018703335	0.0352558462317835
SYT2	0.00162243899697087	0.0155986409613021
EDN3	1	1
ICAM5	1	1
FRS3	1	1
CEACAM6	1	1
HIRA	0.00060736563901097	0.00765302377433537
RTN4	0.00137223214830901	0.0137857603804159
VCAN	1	1
TMEM132D	0.00160028040163162	0.0154821648445525
EGR1	1	1
PDE1C	1	1
PIGZ	1	1
SLC38A6	1	1
CALU	0.0436564173755039	0.141855738538991
SLC7A10	1	1
TET1	0.000264076581004532	0.00421002449964901
DNM3	0.000174297487032423	0.00310069521956295
OXCT1	0.0221454639971755	0.102023704814124
FAM134B	0.000809697654414654	0.00948339914478191
MAMLD1	1	1
ZNF112	1	1
DLG1	1	1
GIPC3	1	1
ZFYVE9	1	1
CLUAP1	0.0495631610074836	0.14933439616696
HIST2H2BE	0.00114562751580696	0.0121944149666717
EGLN3	1	1
ETV3	0.000522130933295133	0.00684146515101461
SH3RF1	4.81558048868254e-07	3.40100372013204e-05
GGT5	1	1
THBS1	1	1
POTEM	6.02691580978226e-07	4.00958143877697e-05
ACTC1	0.000384864218821301	0.00547719446994994
FMNL2	1	1
DCTN1	0.000139007695383861	0.00265694681636947
GNB1L	0.0489479553028497	0.14846045596361
CDC27	1	1
RAB11FIP1	0.0266290933177299	0.112225282314546
SAP30BP	0.024179403953603	0.106756063960953
MYO18B	0.00303644611221453	0.0256517950568362
RNF103	1	1
MARC1	1	1
SP4	1	1
ZDHHC17	1	1
WDR83	1	1
ZMYND8	3.46478536686766e-05	0.000918200624896917
GRIN3A	1	1
PER1	0.00385289031362691	0.0310097297321824
TLR9	1	1
TRDN	1	1
ZNF407	1	1
DOCK1	0.00165464749531815	0.0158024988988296
PANK4	0.00283142677369261	0.0241947387649172
CAD	2.0307808890627e-07	1.72799879867534e-05
CD248	1	1
DYNC1H1	6.55304676983207e-12	2.22113274560194e-09
PVRL2	0.000634092696698191	0.00789820047695057
OPALIN	1	1
DNMT1	3.51748436515452e-08	3.97475733262461e-06
TRIOBP	0.0484058623109915	0.147930074673898
PDZRN4	0.0029952322723588	0.0253491047615746
ANAPC1	8.13910821997868e-07	5.13236176817852e-05
FBXW8	0.0458530512565256	0.144534035450991
REPS1	1	1
PSG1	1	1
CDKN2C	1	1
CA9	1	1
HLA-F	1	1
HEATR5A	1	1
PCDHA10	1	1
AFF4	0.0449421568767284	0.143491854856191
SNRPN	0.0344132613711333	0.126783337732723
H3F3A	1.99955414311699e-06	0.000102332254606984
LAMA3	0.00149359266649278	0.0146822249215258
ZNF613	1	1
SRPK2	0.0106210179691436	0.0659622451044064
PRSS21	1	1
ECT2L	1	1
FCGR1A	1	1
MSH6	0.000528923911454392	0.00689847668448134
ZNF423	0.0196271320436116	0.0954464429011791
MC4R	0.0403647932206522	0.13718784991379
DZIP1	0.0220713668062214	0.101848433890192
SAP18	1	1
SLC10A4	0.034827840366898	0.127561874865403
GUCY2D	1	1
RPL10A	1	1
REEP4	0.0419270546632901	0.139542800923415
CRISPLD1	1	1
TACSTD2	0.000310309181401231	0.0046629261409635
PECR	1	1
FOXM1	1	1
ATF7IP	1.67566707426163e-06	8.83164082983041e-05
MPO	1	1
USP44	1	1
TMOD1	0.0156074995664819	0.084516523989651
GEMIN2	1	1
TNFRSF9	1	1
TTC17	1	1
ZNF665	0.000611989945717038	0.00769755831100015
PEG3	1	1
BRINP3	1	1
MMP2	0.00142396529905602	0.0141544756151768
IRF7	0.00514960964641403	0.0387111422328889
HSPBAP1	1	1
BAK1	0.0276979362955153	0.114563206493164
STAP1	1	1
MAPKAPK5	1	1
KRT75	0.000670946610231284	0.00818750683651068
GCC2	0.000165193166853475	0.00300302893411241
TMEM26	1	1
PAN3	0.0352218436117658	0.128256906681153
MTRR	1	1
SOX5	1	1
RHOT1	1	1
TFAP2B	1	1
USP1	0.000209913003808357	0.00354667605118785
IFNAR2	1	1
GPANK1	1	1
GAD1	1	1
FRMPD3	1	1
ZNF98	0.00011190963272955	0.00224622155882243
USP28	0.0460658534896188	0.144788647205355
APBB2	0.0291332803928677	0.117158970009177
ARL8B	1	1
ACTRT1	1	1
MYH3	0.0322844538934652	0.122995472277844
RAF1	3.80170927816936e-13	1.85169460531525e-10
NCKIPSD	1	1
KSR1	1	1
RASAL3	0.000726365346767031	0.0087022141841258
FMO1	1	1
KRTAP10-8	1	1
CSNK2A3	0.0429933635967804	0.140998667472608
PHF21B	0.00158533082062174	0.0153796688470344
UPB1	1	1
EDRF1	1	1
CBLL1	1	1
CHAT	0.00820282129483905	0.0549643504694505
ARPP21	0.000775588391694313	0.0091598545423764
CCDC154	1	1
FOXC2	1	1
GPR153	1	1
GCC1	0.0270438335928276	0.112982593758855
MYLK	6.3588878040115e-11	1.57577702160811e-08
RIMS3	1	1
SLITRK6	1	1
PKDCC	1	1
KL	1	1
DPP9	0.000389979567270557	0.00550900686259895
SON	0.0323646927366909	0.123121811178497
SLCO5A1	1	1
MCFD2	1	1
DZIP3	0.000960039666155819	0.0107282913642808
DENND2A	0.00133239616761971	0.0134717937491972
NFIB	1	1
USP38	0.0347801416433551	0.12745878649349
CNTN4	1	1
COL6A2	0.00445391331827126	0.0346811056342787
TESPA1	1	1
HK3	1	1
ARHGAP5	1	1
RERE	1	1
TTC28	0.00022152336069716	0.00368119702334986
CAPN3	1	1
STRIP2	6.48868448684069e-07	4.24317909151041e-05
NDUFA7	1	1
GLUD2	1	1
SUPT7L	1	1
ZDHHC14	1	1
SPP2	1	1
HOXA7	1	1
COL17A1	1	1
MAST3	0.000476121194008128	0.00638065641875219
CDK14	1	1
FREM2	0.0181628427941909	0.0914943489543316
ASPHD1	1	1
MYBL2	3.99800653834943e-05	0.00102489732040265
DNAJA3	1	1
CDK5RAP3	1	1
MRC2	1	1
CRYBG3	4.378060257675e-07	3.18763407936388e-05
ROBO4	1	1
CLEC14A	0.000103146613796626	0.00209934570587513
COPS2	1	1
KCTD8	0.041750919283901	0.139310202808618
KIAA0368	0.0171161597948656	0.0883969861435015
RAB40AL	1	1
PCDHA3	1	1
HIVEP3	1	1
TREML1	1	1
DUSP27	1	1
BDP1	1.91631658744978e-09	3.26120142141303e-07
GCNT1	1	1
MFSD5	1	1
FASN	7.94371758716964e-08	7.90176133230782e-06
KRT24	1	1
BROX	1	1
NCR1	1	1
SIX6	1	1
JPH1	1	1
SLC6A17	1	1
ALPPL2	1	1
CCDC136	1	1
TCOF1	2.84407058397219e-05	0.00078889302928611
GLB1	1	1
ACSM2B	1	1
ROR1	1	1
PPP2R2B	0.037060702596155	0.131421702992752
WIZ	0.00030030887966535	0.00459548584562608
MDP1	1	1
SLC9A4	1	1
MBNL2	1	1
SLC26A3	1	1
DYNC2LI1	1	1
ZNF227	1	1
HBP1	0.000140188295450118	0.00267228026077317
ZSWIM3	0.0497385770213282	0.149512109050066
ARMC3	1	1
LARP1B	0.0157193335695573	0.0847787654333706
AGO2	1	1
EZR	0.0367333946314874	0.130859823245841
TLR4	0.0231687286000724	0.104655673641197
CTNND1	4.71101380988019e-05	0.00115933919218005
PROS1	1	1
MUT	1	1
RETSAT	0.000277621441803952	0.00434745328767275
AKAP11	2.66512233133251e-08	3.11114487025386e-06
PALM2	0.0477554691329804	0.147345129205624
FCMR	1	1
UNC13A	1	1
DNAJC10	0.024883878507387	0.108215758595087
PTCHD3	1	1
KDR	0.0427807056842799	0.140846667057777
VCAM1	1	1
HEXDC	0.031126872818037	0.120921956486601
ZNF324	0.0332704459711564	0.125118490240305
ADGRA3	1	1
DDX18	0.000300107867275584	0.00459548584562608
PTHLH	1	1
RGCC	0.000139812304948679	0.00266871460459472
ZBED4	1	1
TRIM37	1	1
EEA1	0.000111908940890125	0.00224622155882243
ZNF560	1	1
ELP2	0.000764122189502995	0.00906993775355446
RIC1	0.0167471939758056	0.0873215632736267
CMSS1	1	1
RBBP9	1	1
RPAIN	1	1
MMP17	0.0191973036148121	0.0946794390919069
PGK1	0.000329206818390638	0.00487937703018652
DYNC1I1	5.52590951729299e-06	0.000224291586010815
MFSD6	0.0458547589335437	0.144534035450991
ZNF519	1	1
CLRN3	1	1
HIC2	0.0330592281601717	0.124589540491576
TTC16	1	1
SETD1A	1	1
PER3	1	1
FGF23	0.0305366697087413	0.119851205223282
VWA3B	1	1
RUSC1	1	1
OTOP1	1	1
ATP13A4	1	1
GRIN2A	0.000615653794568917	0.00773675253406224
FAM134A	0.0391077227157898	0.134730873990373
TRMT2A	0.0195078707290428	0.0953616349545813
DAGLA	0.00783538072073581	0.0531323824677836
ZNF283	0.000468904551484251	0.00631992060087313
ARL8A	1	1
PLEKHN1	1	1
PRKAA2	1	1
DDX51	0.0137051451878454	0.0776985787587351
ZNF462	0.000515466614143466	0.00676888308837317
TMEM132E	1	1
EVC2	0.0388844230688047	0.134348075032554
IGFN1	1	1
CELSR1	0.0306221822036202	0.119999133368699
HOMEZ	1	1
PLXNB1	1	1
STUB1	1	1
CR2	1	1
ZBED8	1	1
CDHR2	1	1
NR5A2	1	1
WDR59	1	1
ZFP2	1	1
FAM86C1	1	1
A2M	1	1
DCC	1	1
SERPINB10	1	1
TRPS1	7.6338605082662e-06	0.00028908385972992
SP100	0.0285278663974413	0.116198799856477
ARHGEF7	0.0398173054658455	0.13635494958231
RSPRY1	1	1
GOLGB1	8.8168214337795e-10	1.68294057773156e-07
PAPOLA	0.0429126061622765	0.140930146952373
CSF1R	1	1
NEFH	1	1
PDE2A	1	1
SHKBP1	1	1
DNTTIP1	1	1
WDR24	0.0108608892059956	0.0669328359662689
ANKS3	1	1
KIAA0319	1	1
VPS53	1	1
ACAT2	1	1
SLC7A8	1	1
SIN3A	2.27353537671661e-06	0.00011469173998615
WDR46	0.045435441330243	0.144104352234318
XKR4	0.000303409938512281	0.00461244803983015
PCDHB3	1	1
CHST8	1	1
INPP4A	1	1
STON2	0.0478868080833199	0.147543385488001
WDR81	3.80421177841703e-05	0.000982349019563813
HYDIN	0.00952404154953485	0.0611764833502409
ZNF573	0.00173867808629936	0.0162965016383401
CHTF18	1	1
ATP10A	1	1
TTC7B	4.7484863288052e-06	0.000198438962705247
ZBTB26	1	1
ADAMTS12	1	1
ATE1	1	1
SLC39A4	1	1
GBP3	1	1
PHKA1	1	1
ABCF1	8.74101073013041e-06	0.000319862115448425
PCDHA12	1	1
OR5A1	1	1
PDIK1L	1	1
ADAM11	1	1
FSIP1	1	1
FCGR1B	1	1
ZFP69	1	1
MDC1	3.24060397809572e-10	7.15211424853157e-08
AR	1	1
CLCA4	1	1
PDE1A	1	1
LIPT1	1	1
CSRNP3	1	1
EMC3	1	1
CBFA2T3	0.02400090002395	0.10640700340185
ZBTB38	0.0245554353747582	0.107581604225016
DCAF12L1	1	1
HAS1	4.92602236658132e-05	0.00120152608514671
OPLAH	0.0215463770500806	0.100725082784354
PTPN7	1	1
PDE6A	1	1
EEF2K	0.000320627327712472	0.00477727954001968
TIAM2	1.10396074118748e-05	0.000382460482180963
MYH11	0.010709001385541	0.0663441423555993
DMRTC2	1	1
FSCN3	1	1
PDCD11	1	1
SWSAP1	1	1
ANKHD1	7.92754098625276e-05	0.0017043609806822
ZFC3H1	0.000507194229370896	0.00667671807070261
PCYT1A	1	1
NEB	8.50919872377102e-08	8.39915543287099e-06
SPATA31A5	1	1
MYH4	9.53588569930279e-09	1.33360777725398e-06
IQCB1	1	1
IMPA2	1	1
ANXA5	1	1
BBS12	1	1
SIGLEC10	1	1
TBATA	1	1
ESYT1	1	1
HTR2A	1	1
PGM5	1	1
CTC1	0.0213388183103956	0.100218428462016
NVL	0.0319703440368675	0.122372919019945
TRA2B	0.00766942734832799	0.0523083830493157
PRKG1	1	1
MVD	0.0216744370853065	0.100906863490426
POMGNT1	1	1
CLDN5	1	1
LLGL2	1	1
STK17B	1	1
GPR107	1	1
MXRA8	1	1
FEN1	1	1
BRD4	7.2605172737191e-06	0.000277926304854424
ZIM2	1	1
ASIC1	0.0409114166926256	0.138114363246663
EXT2	0.0359456205423036	0.129457391677725
ZFYVE28	1	1
POU3F4	1	1
HAUS8	0.0165398265707161	0.0869140812170257
SATB1	1	1
ADSSL1	1	1
TMEM225	1	1
RUNX1T1	0.0217300526530351	0.101032585162647
GSTA4	1	1
LATS2	0.00401948941421938	0.0319500776453848
VRK2	0.0346225467008394	0.127189459596712
EML5	1	1
CACNA1D	1	1
GPR179	0.0275855377803023	0.114299126179751
UBTF	0.0356406020175321	0.128950692494273
SENP1	0.000309144058664986	0.00465528766379843
TMIGD2	1	1
DSG1	0.0123905243552801	0.073412817331515
JAZF1	1	1
HIST1H3H	0.0172647741128393	0.0888736723530376
OR5V1	1	1
DPYSL2	0.00106018047856016	0.0115448274615033
PLBD1	1	1
DCAF12L2	1	1
GRIN2C	1	1
COQ5	0.0173937749203048	0.0891379928199848
RFWD2	1	1
MRPL44	1	1
RUFY2	1	1
ANKRD13D	0.0497736801666627	0.149522167663571
MTMR8	1	1
C2CD4D	1	1
OR52E8	1	1
HP1BP3	0.0414976607736596	0.138863613327347
ADCY6	0.0372205062693704	0.131632361305673
RHBDF2	0.0369710760083303	0.131243138632236
ANKRD12	7.18581945146172e-06	0.000275814401499719
RPL10L	1	1
THBS2	1	1
CLGN	1	1
SLC6A6	0.00124593260042067	0.0128928922937304
IL1R1	1	1
PARD3	3.48712151171238e-05	0.000922389351178602
CLEC4F	1	1
HSP90B1	0.00862874325130025	0.0568474806084963
RIMKLA	1	1
TCERG1	1	1
HOXB3	0.0158682658300681	0.0852047149029503
CHL1	0.0244188044902161	0.107283239012225
KRT1	0.0392699816925433	0.135223913068545
GAPDH	1	1
FAM135A	1	1
LRRK1	1	1
CGN	0.044229473158398	0.142618874874794
XXYLT1	1	1
SLAMF6	1	1
CCIN	1	1
GLYCTK	1	1
BCL9	0.00387942423176865	0.0311522085745535
KPRP	1	1
RAB40A	1	1
ZNF135	1	1
CST4	1	1
BRSK1	0.00155325380313666	0.0151204065949727
PLPPR4	0.0303276339487121	0.119391814249041
FRMPD4	1	1
DHRS7C	1	1
FRMD4B	0.00105135778366792	0.0114675125052582
MTG1	0.00392401832464884	0.0313677186393123
F2RL1	0.000596046539408419	0.00755081378398558
MSI1	1	1
KIAA0100	0.00638002684393335	0.0456524210590469
AICDA	1	1
DZIP1L	1	1
UNC5C	1	1
GPR174	1	1
SPIDR	1	1
GOLPH3	1	1
ITGB2	1	1
PAXIP1	1	1
BNC1	1	1
NANS	1	1
TMEM206	1	1
ZNF500	1	1
FBXO18	1	1
YES1	0.00683950174652582	0.0480158857702173
EFR3A	0.0371107185078748	0.131474516910893
THSD7A	1	1
DCP1A	0.0410508253152841	0.13835430865626
CLASP1	0.0314530374996039	0.121485959716135
PLEKHO2	1	1
CNTNAP3B	1	1
FPR2	2.76224056234873e-06	0.00013359911017525
ZNF257	0.00789154678890459	0.0534619176946174
ARNT2	1	1
ABCA8	1	1
DDHD1	0.00352576313789876	0.0288703793175768
PPEF2	1	1
LY9	0.0448230518217434	0.143273502372058
HIST1H4A	1	1
PIK3CB	0.000631972085171081	0.00788636512536195
GH2	1	1
RAB15	1	1
EXTL3	1	1
KCNJ12	1	1
KRT40	1	1
ABCC4	1	1
TECR	1	1
TLN1	0.0022865709877269	0.0202367263168186
CDC20B	1	1
ATP8A1	0.048325153036689	0.147788474090967
SEMA3D	1	1
SORBS2	0.00849205327668489	0.0563065280334863
ADAD1	1	1
SOBP	1	1
SHOC2	1	1
PDE8B	0.0164630577373467	0.0868337156609491
FOXJ3	5.02430814024405e-06	0.000208730448473374
TBC1D2B	0.0084239357923947	0.056103118038476
TLL1	0.0413617877716821	0.138806258356905
WWC2	1	1
PCDH20	1	1
ECH1	0.00234263154291216	0.0206423397028287
KRT13	1	1
WWC1	0.00120483551479864	0.012615494178303
SCN2B	1	1
PDHA1	1	1
GSTA5	1	1
PDGFRA	1	1
GPR50	1	1
TLN2	0.0265787372416733	0.112225282314546
LARGE	1	1
C1QTNF7	1	1
PIEZO2	0.0305716030031493	0.119851205223282
THRB	1	1
BAG5	1	1
TRIM38	1	1
SUPT6H	3.61178844840425e-10	7.50242821083971e-08
COL4A2	0.000374097030295516	0.00535914863379732
NOMO2	0.00288306153269559	0.0245678505326578
UBC	0.000403741073622028	0.0056286010309127
MYO6	0.000288983326485923	0.00448066903031138
ASXL2	1	1
NDC1	0.0434117995620112	0.141600691752791
TOMM40L	1	1
LAMB3	1	1
OTUD6B	0.00719663961813087	0.0498296738265189
SPEF2	1	1
ANKRD34A	1	1
PAK3	1	1
KIAA1755	1	1
FAM210A	1	1
ABCA2	3.26959304541308e-05	0.000882660242042648
TLX2	1	1
PCDHB6	1	1
PKLR	4.31545603435016e-05	0.001090443944279
LMNA	0.0453507045247463	0.143982625626442
TMED7	1	1
GAB4	1	1
MTERF3	1	1
MPDZ	0.0168715928002214	0.0875500544831477
HEMGN	1	1
TBC1D13	1	1
SERPINB11	0.0239657364185484	0.10631784764824
UTRN	6.04630687758933e-07	4.00958143877697e-05
RDH10	0.0339479542356191	0.12605542943694
KIAA0922	1	1
FAM83C	1	1
DHX8	1	1
CCR1	1	1
UTP6	1	1
GARNL3	1	1
ALK	2.03414449227194e-05	0.000612628804975291
ARV1	0.0179623111093654	0.0907755436206748
DYM	1	1
FYCO1	1	1
OTOP3	1	1
LTF	1	1
MXRA5	1	1
DNAH10	0.0463898527876	0.145289727411275
SIGLEC12	1	1
MAT1A	1	1
OVGP1	1	1
RAB3C	1	1
ORC4	1	1
RASGRP4	1	1
OSR2	1	1
WDR70	1	1
IDH2	4.77382688624088e-23	4.81645034058232e-20
GTPBP10	0.000229043450615254	0.00377507437565982
GLRA2	0.0114607868971137	0.0695903654720504
ZNF836	1	1
LCMT2	1	1
LOXHD1	1	1
SDF2L1	1	1
RLF	9.99482419470624e-05	0.002049011491295
MRPL20	0.0433686021367928	0.141600691752791
TRERF1	1	1
PRB2	1	1
FOXN4	1	1
AP5Z1	0.0014660991542766	0.0144613481523443
PREB	1	1
GAPT	1	1
HIBCH	0.0226784750614514	0.103567235772066
RASGEF1A	1	1
HOOK3	1	1
SNRNP200	0.0154260654505252	0.0841019168750444
CCKAR	1	1
RASA4B	1	1
BAP1	1	1
PIAS3	1	1
CFAP46	1	1
SLC34A2	0.0276841381537911	0.114539675284798
FHDC1	1	1
MYO9A	9.31130851601309e-08	8.94709066589693e-06
SLITRK2	1	1
CHRM2	0.00241951736858884	0.0212007958010654
MYOM3	1	1
SUPT5H	0.000276849317181351	0.0043404696827217
LRRN1	1	1
ARAP1	0.0470774172624649	0.146436581993463
AMD1	1	1
MACF1	1.3262911868904e-09	2.40177730959319e-07
KCNA2	1	1
PRKRIP1	1	1
C6	1	1
RPS6KA4	8.67899017080818e-05	0.00183244747627303
EXOC4	0.0139765282226155	0.078558878290666
TBC1D31	0.00044393931476351	0.00604690725268523
PLCG1	0.000569546621617493	0.00731349639122463
RRP1B	0.00267365874128099	0.0230277010491427
TWISTNB	1	1
SERINC5	1	1
IGFBP5	0.00362818311291367	0.029571890634683
TRIM28	0.0167104890331547	0.0872999938543972
KIAA0196	0.0155359523133338	0.0843011492437385
ADGRG1	1	1
UGT1A3	1	1
THOP1	0.0426754561355842	0.140846667057777
OVCH1	1	1
AMBRA1	0.0212352193653613	0.100015829788506
NONO	8.76009961994773e-05	0.00184390427362688
NRG1	1	1
GRM7	1	1
SNAP25	1	1
PHKB	1	1
IL23R	1	1
ATXN3	1	1
CYSLTR1	1	1
COL5A1	1	1
IGSF22	1	1
ENAH	1	1
CREB3	1	1
MON1A	0.0196248031307134	0.0954464429011791
RNF157	1	1
ROCK2	0.000654575734242485	0.00806796007519642
PORCN	1	1
PCNX	0.00541128345083892	0.0402710109289251
RBMXL3	0.00780792762900005	0.0529971060834338
MAGEB1	0.000171503569612345	0.00307321468899661
DKC1	0.0311546070319364	0.120961743904921
GPR15	1	1
SYT16	1	1
PKNOX1	1	1
RABGGTA	1	1
ARFGEF1	0.0400865893398836	0.136735830578569
DIP2B	0.000697225063478148	0.00844622986417568
TFDP3	0.00565408298774557	0.0415545679136265
CPT2	0.0129290214225507	0.0751223478377331
CHGA	1	1
ZP1	1	1
RCAN3	1	1
ADPRHL2	1	1
INHBA	1	1
CFH	1	1
ABCC1	2.37937534574207e-06	0.000119179704817754
ARAP2	0.0442345692620512	0.142618874874794
HSD17B4	0.00337108509152622	0.0278785579144074
PIP4K2C	1	1
NKRF	1	1
SPEG	8.76988868769685e-06	0.000320089606495395
FAAP100	1	1
EPC1	0.0457524443636253	0.14448940776295
HAVCR2	1	1
HNRNPCL1	0.000303226159343327	0.00461244803983015
CDH9	1	1
TOP2B	2.79751088640391e-06	0.00013359911017525
GGT1	0.048776259616263	0.148187972208381
OGFOD1	0.0414496805661293	0.138806258356905
TTLL3	1	1
EPHA4	1	1
PLCL2	1.99051594615233e-05	0.000603348449343383
PRX	1	1
FAM47C	0.011873278583866	0.07127499362393
APOA5	1	1
CHEK2	0.00915585223540701	0.0594330941291931
ARHGAP35	1	1
SELE	1	1
PPIP5K2	0.000564342968901819	0.00725327064216396
SLC4A8	0.0136861990952341	0.0776968969986108
TMEM68	1	1
WDR17	1	1
QRICH1	1	1
GABRA6	1	1
TRIM5	1	1
SLC5A2	0.00128222358421374	0.0131623605574267
PRIMPOL	1	1
FUT8	1	1
SPICE1	0.00024904403166622	0.0040111139649776
TNRC6C	1	1
DTX3	1	1
ZNF700	0.00794573882692943	0.0536591006808202
ENOX2	1	1
PRMT7	1	1
PDYN	0.0243819648488886	0.107188065200919
NLGN3	1	1
SERPINH1	0.0417035178099178	0.139258200724607
CHD7	4.4622036162872e-06	0.000189275153393564
EFNB2	1	1
PTPRM	1	1
POMT2	1	1
ANOS1	1	1
LRIG1	1	1
GNL1	0.0120339162612904	0.0719335874696263
KCNB2	1	1
CD101	1	1
GATB	0.0186028381220763	0.0927610580119936
LHCGR	1	1
KTI12	1	1
CAMSAP3	1.08600452968672e-10	2.59996847149576e-08
ZMPSTE24	0.0104506122437231	0.0653025111699836
CAMK1G	1	1
PLXND1	1	1
ING4	1	1
ZNF100	1	1
NELFE	1	1
EPS15L1	0.0229502906795334	0.104265434399383
TRAPPC11	0.000534622266037984	0.00695353545836696
MBD5	0.0076891350212467	0.0523669393322612
TNXB	0.000289666989813965	0.00448634455166914
TELO2	1	1
SIRPA	0.027296523400671	0.113634952264803
GANAB	6.62229161992991e-06	0.000257685589893967
PLEKHG4B	1	1
NLRX1	1	1
KEAP1	0.0118349685867846	0.0711159210329905
APP	1	1
AGPAT1	0.0405899041786209	0.137610950421058
DNMBP	0.000191797040315926	0.00331679093914712
GMIP	0.00964426858449608	0.0615846716799309
ITSN1	0.049717773733159	0.149512109050066
TPO	1	1
AMIGO2	1	1
IL12RB2	1	1
PTPRK	0.000882384148366237	0.0100807998248347
TLX3	1	1
FLVCR2	1	1
OPTN	0.00410503746445161	0.0325385264788883
SOCS6	1	1
LTB4R	1	1
PTPN14	0.0201048359195344	0.0967566634969076
GIMAP8	0.0108829265968773	0.0670101735749309
KCND3	1	1
LMTK2	1.25196119847503e-05	0.000423526981996188
AHSG	0.0003118114965674	0.00466550348914785
ZNF202	1	1
IGDCC4	1	1
